,seconds_elapsed,bpm
954,15.22138,96.092000953125
955,15.23138,96.090000953125
956,15.24138,96.088000953125
957,15.25138,96.086000953125
958,15.26138,96.084000953125
959,15.27138,96.082000953125
960,15.28138,96.080000953125
961,15.29138,96.078000953125
962,15.30138,96.076000953125
963,15.31138,96.074000953125
964,15.32138,96.072000953125
965,15.33138,96.070000953125
966,15.34138,96.068000953125
967,15.35138,96.066000953125
968,15.36138,96.064000953125
969,15.37138,96.062000953125
970,15.38138,96.060000953125
971,15.39138,96.058000953125
972,15.40138,96.056000953125
973,15.41138,96.054000953125
974,15.42138,96.052000953125
975,15.43138,96.050000953125
976,15.44138,96.048000953125
977,15.45138,96.046000953125
978,15.46138,96.04400095312499
979,15.47138,96.042000953125
980,15.48138,96.040000953125
981,15.49138,96.038000953125
982,15.50138,96.036000953125
983,15.51138,96.034000953125
984,15.52138,96.032000953125
985,15.53138,96.030000953125
986,15.54138,96.028000953125
987,15.55138,96.026000953125
988,15.56138,96.024000953125
989,15.57138,96.022000953125
990,15.58138,96.020000953125
991,15.59138,96.018000953125
992,15.60138,96.016000953125
993,15.61138,96.014000953125
994,15.62138,96.012000953125
995,15.63138,96.010000953125
996,15.64138,96.008000953125
997,15.65138,96.006000953125
998,15.66138,96.004000953125
999,15.67138,96.002000953125
1000,15.68138,96.000000953125
1001,15.69138,96.00799618710957
1002,15.70138,96.01599618671894
1003,15.71138,96.02399618632832
1004,15.72138,96.03199618593769
1005,15.73138,96.03999618554707
1006,15.74138,96.04799618515644
1007,15.75138,96.05599618476582
1008,15.76138,96.06399618437518
1009,15.77138,96.07199618398457
1010,15.78138,96.07999618359393
1011,15.79138,96.08799618320332
1012,15.80138,96.09599618281268
1013,15.81138,96.10399618242207
1014,15.82138,96.11199618203143
1015,15.83138,96.11999618164081
1016,15.84138,96.12799618125018
1017,15.85138,96.13599618085956
1018,15.86138,96.14399618046893
1019,15.87138,96.15199618007831
1020,15.88138,96.15999617968768
1021,15.89138,96.16799617929706
1022,15.90138,96.17599617890643
1023,15.91138,96.18399617851581
